characters,excluding,directed_to,lines,song
1,,,1-5,1
4,,,6-11,1
10,,,12-15,1
11,,,16-19,1
1,,,20-23,1
2,,,24-27,1
7,,,28-30,1
24,,,31,1
3,,,32-36,1
1,,,37-46,1
24,,,47-51,1
21,,,52,1
22,,,53,1
2,,,54,1
24,,,55-63,1
1,,,64-69,1
6/5,,,70,1
4,,,71,1
3,,,72,1
7/8/16,,,73,1
1,,,74,1
24,,,75-76,1
1,,,77,1
24,,,78,1
24,2,,1,2
2,,1,2,2
1,,2,3,2
2,,1,4-6,2
1,,2,7,2
2,,1,8-9,2
1,,2,10,2
2,,1,11-13,2
1,,2,14,2
2,,1,15-18,2
1,,2,19,2
2,,1,20,2
1,,2,21-22,2
2,,1,23,2
1,,2,24,2
2,,,25,2
1,,2,26,2
2,,1,27,2
1,,2,28,2
2,,1,29,2
1,,2,30,2
4,,,31-32,2
4/5/6,,,33,2
1,,,34,2
4,,,35-39,2
5,,,40-44,2
6,,,45-48,2
4,,,49-50,2
4/5/6,,,51,2
4,,1,52,2
6,,1,53,2
4,,1,54,2
1,,4,55-56,2
5/6,,1,57,2
4,,1,58,2
2,,1,59,2
4/6/5,,2,1-2,3
4/6/5,,,3,3
2,,,4-23,3
2/5/6/4,,,24,3
2,,,25-31,3
5/6/4,,,32,3
2,,,33-40,3
2/6/4/5,,,41-46,3
5,,,47-51,3
2/4/5/6,,,52,3
6,,,53-57,3
2/4/5/6,,,58,3
4,,,59-63,3
2/4/5/6,,,64,3
1,,,65-69,3
2,,,70-82,3
4,,,83,3
2/4/5/6/24,,,84-93,3
4,,,94-109,3
4/24,,,110-114,3
2,,,115-142,3
2/24,,,143-147,3
2/4/5/6,,,148-150,3
2,,,151,3
2/5/6/4,,,152-159,3
2/5/6/4,,,160,3
24,,,161,3
2,,,1,4
5/6/4,,,2,4
2,,,3,4
5/6/4,,,4,4
2,,,5,4
5/6/4,,,6,4
2,,,7,4
6/5/2,,,8,4
4,,,9-12,4
4/6,,,13,4
5/4/3,,,14,4
2,,,15,4
4/6/5,,,16-17,4
2,,,18,4
6/5,,,19,4
4,,,20,4
2/4/6/5,,,21,4
2/4,,,22,4
6/5,,,23,4
2/4/24,,,24-26,4
24,,,27,4
1,,,1-9,5
24,,,10,5
8,,,11,5
24,,,12,5
7,,,13,5
9,,,14,5
24,,,15-16,5
8,,,17,5
9,,,18,5
7,,,19,5
24,,,20,5
9,,7/8,21,5
8,,9,22,5
9,,7/8,23,5
7,,9,24,5
8,,,25-26,5
7/9,,,27,5
24,,,28,5
7/8/9/24,,,29,5
9,,,30,5
7,,,31,5
9,,,32,5
8,,,33,5
8,,,34,5
7,,8,35,5
22,,,36,5
8,,,37-40,5
7/8/9,,,41-42,5
1,,,43-48,5
8,,1,49,5
1,,8,50-51,5
8,,,52-55,5
7/8/9,,,56-57,5
8,,,58-59,5
21,,,60,5
7,,,61-62,5
7/9,,,63-64,5
7/8/9,,,65-66,5
24,3/2,,67,5
8,,,68-72,5
8/7/9,,,73-74,5
24,,,75-76,5
21,,,77,5
22,,,78,5
24,,,79,5
24,,,80-90,5
13,,,1-4,6
6,,,5,6
13,,,6-8,6
1,,,9,6
13,,,10-12,6
2,,,13-25,6
13,,,26,6
2,,,27,6
13/2,,,28,6
2,,,29,6
13,,,30,6
2,,,31-32,6
1,,2,33,6
2,,1,34,6
24,,,35-36,6
24,,,37,6
12,,,1-40,7
24,,,41-44,7
24,,,1-2,8
24,,,3-6,8
2,,,7-9,8
2/1/4/6/5,,,10,8
2,,,11-12,8
2/1/4/6/5,,,13,8
2,,,14-16,8
2/1/4/6/5,,,17,8
2,,,18,8
2/1/4/6/5,,,19,8
2,,,20,8
24,,,21,8
1,,,22,8
24,,,23,8
1,,,24,8
24,,,25,8
1,,,26,8
24,,,27,8
1,,,28,8
3,,,29-45,8
24,,,46,8
3,,,47-58,8
2,,,59,8
6,,,60,8
2,,,61,8
6,,,62,8
2,,,63-65,8
6,,,66,8
3,,,67,8
24,,,68,8
3,,,69,8
24,,,70,8
3,,,71,8
24,,,72,8
3,,,73,8
24,,,74,8
3,,,75-84,8
1,,3,85,8
3,,1,86,8
1,,3,87-88,8
3,,1,89,8
1,,3,90-96,8
3,,,97,8
1,,3,98-99,8
3,,1,100,8
1,,3,101,8
2,,3,102,8
3,,2,103,8
2,,3,104,8
2/1,,,105,8
1,,3,106,8
3,,1,107,8
1,,3,108,8
3,,1,109,8
2,,3,110,8
3,,2,111-113,8
2,,3,114,8
3,,2,115,8
2,,3,116,8
3,,2,117-119,8
2,,3,120,8
3,,2,121,8
2,,3,122,8
3,,2,123-125,8
2,,3,126,8
3,,2,127,8
2,,3,128,8
3,,2,129-132,8
24,2,,133-135,8
2,,,136,8
3,,2,137,8
3/24,,,138,8
2,,3,139-141,8
3/24,,,142,8
2,,3,143-146,8
24,,,147,8
2,,,148-149,8
24,,,150,8
2,,,151,8
24,,,152,8
2,,,153,8
3,,,154,8
24,,,155,8
1,,,1-8,9
22,,,9,9
1,,,10,9
22,,,11,9
1,,,12,9
22,,,13,9
1,,,14-15,9
2,,,16,9
24,,,17,9
1,,,18-19,9
1,,2,20,9
2,,1,21,9
2/1/4,,,1-3,10
2/1/4/21,7,,4,10
7,,,5-8,10
7/21,,,9-11,10
7,,,12-17,10
7/21,,,18,10
7,,,19-31,10
2,,8,32,10
8,,2,33,10
2,,8,34,10
7,,2,35,10
2,,7/8,36,10
8,,2,37,10
7,,2,38,10
2,,7,39,10
8,,2/7,40,10
7/21,,,41,10
7,,,42-44,10
8,,,45,10
7,,,46-67,10
2,,,68-83,10
21,,,84-86,10
7,,,87,10
4,,,1-3,11
8,,,4-23,11
24,,,24,11
2,,8,25,11
8,,2,26,11
2,,8,27,11
8,,2,28,11
2,,8,29,11
8,,2,30,11
2,,8,31,11
8,,2,32,11
2,,8,33-34,11
8,,,35-51,11
7,,,52,11
8,,,53,11
7,,,54,11
8,,,55,11
7,,,56,11
8,,,57,11
8/24,,,58,11
2,,8,59,11
8,,2,60,11
2,,8,61,11
24,,,62,11
8,,,63-70,11
7,,2,71,11
2,,7/8,72,11
8,,2,73,11
24,,,74,11
8,,,75-81,11
7,,2,82,11
2,,7,83,11
8,,2/7,84,11
24,,,85,11
8,,,86-90,11
8/24,,,91,11
8,,,92-111,11
4,,,1,12
6/5,,,2,12
4,,,3,12
6/5,,,4,12
4,,,5,12
6/5,,,6,12
4,,,7,12
5,,,8,12
4/6,,,9-10,12
6,,,11,12
5,,,12,12
4,,,13,12
5/2,,,14,12
6,,,15,12
2/4/5,,,16,12
5,,,17,12
4,,,18,12
2,,1,19,12
1,,2,20,12
2,,1,21,12
1,,2,22,12
6/5,,1,23,12
1,,2,24,12
6,,1,25,12
1,,,26,12
5,,1,27,12
2,,1,28-29,12
1,,2,30,12
2,,1,31,12
1,,2,32-33,12
4,,1,34-35,12
2,,1,36,12
4,,1,37,12
1,,2,38,12
2,,1,39,12
5,,,40,12
4,,,41,12
2,,,42,12
6,,,43,12
2,,1,44,12
1,,2,45,12
2,,1,46,12
1,,2,47,12
2,,1,48,12
1,,2,49,12
2,,1,50,12
1,,2,51-52,12
2,,1,53-54,12
1,,2,55,12
2,,1,56,12
1,,,1-25,13
1/24,,,26-38,13
24,,,39-41,13
1,,,42,13
24,,,43-46,13
1,,,47-48,13
24,,,49-52,13
1,,,53,13
24,,,54-57,13
1,,,58-59,13
24,,,60-62,13
1,,,63,13
24,,,64-66,13
1,,,67-68,13
24,,,69-72,13
1,,,73-74,13
24,,,75-77,13
1,,,78-98,13
7,,,1,14
7/8/21,,,2,14
2,,,3-8,14
3,,2,9,14
2,,3,10,14
3,,2,11-12,14
2,,3,13,14
3,,2,14-15,14
2,,3,16,14
3,,,17,14
2,,,18,14
3,,,19,14
2,,,20,14
3,,2,21,14
2,,,22,14
3,,2,23-24,14
2/4/5,,,25,14
6,,,26,14
5,,,27,14
4,,,28-30,14
2,,,31-35,14
3,,2,36,14
2,,,37-41,14
14,,,42,14
2,,,43,14
2/4/5,,,44,14
3,,,45,14
14,,,46,14
3,,,47,14
14,,,48,14
3,,14,49,14
14,,3,50,14
3,,14,51,14
3,,2,52,14
2,,3,53,14
3,,2,54,14
2,,3,55,14
4,,,56,14
5,,,57,14
2,,,58-60,14
14,,,61-64,14
24,,,65,14
3,,2,66,14
2,,3,67,14
3,,2,68,14
4,,2,69,14
2,,4,70,14
4,,2,71-72,14
2,,4,73,14
22,,,1,15
24,,,2,15
1/2/4/14,,,3,15
24,,,4-5,15
4,,,6-7,15
24,,,8,15
4,,,9,15
2,,,10,15
24,,,11,15
14,,,12,15
1,,,13,15
2,,,14,15
1,,,15,15
24,,,16-17,15
4,,,18-19,15
2,,,20,15
1,,,21,15
24,,,22,15
14,,,23,15
24,,,24-25,15
2,,,26-27,15
24,,,28,15
14,,,29-30,15
24,,,31,15
4/14/2/1,,,32-33,15
1,,2,34,15
2,,1,35,15
1,,2,36,15
2,,1,37-38,15
1,,2,39,15
2,,1,40,15
2,,1,41,15
24,,,42,15
2,,,43-44,15
22,,,45-46,15
2/1,,,47,15
24,,,48,15
2/1,,,49,15
2,,14,1,16
1,,2,2-3,16
4,,,4,16
1,,,5,16
2,,,6,16
24,,,7,16
1,,,8,16
3,,1,9-10,16
1,,3,11,16
3,,14,12-14,16
1,,,15,16
3,,2,16,16
2,,3,17,16
3,,2,18,16
24,,,19-20,16
3,,2,21,16
2,,3,22,16
3,,2,23,16
2,,3,24,16
3,,2,25,16
2,,3,26-27,16
3,,2,28,16
2,,3,29,16
3,,2,30-31,16
2,,3,32-34,16
3,,2,35,16
2,,3,36-38,16
3,,2,39,16
2,,3,40,16
3,,2,41,16
2,,3,42,16
3,,2,43,16
2,,3,44,16
3,,2,45-46,16
2,,3,47,16
3,,2,48,16
7,,,1-3,17
2,,7,4,17
7,,2,5,17
2,,7,6,17
7,,2,7,17
2,,7,8,17
7,,2,9,17
2,,7,10,17
7,,2,11-15,17
2,,7,16-17,17
7,,2,18-45,17
1,,,1-8,18
24,,,9,18
5,,,10-11,18
24,,,12,18
5,,,13-14,18
24,,,15,18
5,,,16,18
24,,,17,18
5,,,18,18
24,,,19,18
5,,,20,18
5/24,,,21-23,18
3,,,24,18
5,,,25-26,18
3,,,27,18
3/24,,,28,18
5,,,29-30,18
3/24,,,31,18
5,,,32-33,18
3/24,,,34,18
5,,,35-36,18
3/24,,,37,18
5,,,38,18
3,,,39,18
5,,,40-43,18
3,,,44-51,18
3,,,1-8,19
2/3,,,9,19
3,,,10-12,19
3/24,,,13,19
3,,,14-16,19
3/2/22,,,17-18,19
24,,,19,19
24,,,1,20
5,,2,2,20
2,,5,3,20
5,,2,4,20
2,,5,5-6,20
5,,,7,20
2/5,,,8,20
2,,5,9,20
5,,2,10-11,20
2,,5,12,20
5,,2,13,20
2,,5,14,20
5,,2,15,20
24,,,16-20,20
2,,,21,20
24,,,22,20
2,,,23-33,20
24,,,34,20
2,,,35,20
24,,,36,20
2,,,37-42,20
24,,,43,20
2,,,44-47,20
2/4,,,48,20
2,,,49-50,20
2/5,,,51,20
2,,,52-53,20
2/24,,,54,20
6,,,55-56,20
24,,,57,20
6,,,58-63,20
24,,,64-66,20
2,,,67,20
5,,,68,20
6,,,69,20
4,,,70,20
3,,,71,20
2,,,72-79,20
22,,,80,20
24,,,81-85,20
5,,,86,20
24,,,87,20
2,,,88-89,20
24,,,90,20
6,,,91,20
5,,,92,20
6/5/4,,,93,20
6/5/4/2/3,,,94,20
24,,,95,20
12,,,1-27,21
1,,,1-15,22
2,,,16-24,22
1,,,25,22
2,,,26-28,22
1,,,29,22
1/2,,,30-38,22
1,,,1,23
2,,,2,23
1,,,3,23
2,,,4,23
1,,,5-8,23
2,,,9-15,23
1,,,16-19,23
2,,,20-21,23
1,,,22-26,23
24,,,27,23
1,,,28-31,23
2,,,32-41,23
1,,,42,23
2,,,43,23
1,,,44,23
2,,,45,23
1,,,46-48,23
22,,,49,23
22,,,50,23
1,,,51-53,23
1/22,,,54-57,23
1/24,,,58-59,23
1,,2,60,23
2,,1,61,23
1,,2,62,23
2,,1,63,23
1,,2,64,23
2,,1,65,23
1,,2,66,23
2,,1,67,23
1,,2,68,23
2,,1,69-71,23
1,,2,72,23
2,,1,73,23
1,,2,74,23
2,,1,75,23
1,,2,76,23
2,,1,77-78,23
1,,2,79,23
2,,1,80,23
1,,2,81,23
2,,1,82,23
1,,2,83,23
2,,1,84,23
1,,2,85,23
2,,1,86-87,23
1,,2,88,23
2,,1,89,23
1,,2,90,23
2,,1,91-93,23
1,,2,94,23
2,,1,95-97,23
1,,2,98,23
2,,1,99,23
1,,2,100,23
2,,1,101-104,23
1,,,105-113,23
8,,,114-119,23
2,,8,120,23
8,,2,121,23
7,,,122-128,23
1,,,129-134,23
1/22,,,135-138,23
24,,,139-142,23
3,,,143-146,23
2,,,147,23
3,,,148,23
2,,,149,23
3,,,150,23
2,,3,151,23
3,,2,152,23
2,,,153,23
7,,2,154,23
2,,7,155,23
7,,2,156,23
2,,7,157,23
7,,,158,23
2,,7,159,23
7,,2,160,23
8,,,161-167,23
7,,,168-175,23
3,,,176-178,23
3/6/4/5,,,179-181,23
1,,,182-186,23
24,,,187,23
2,,,188-192,23
24,,,1-2,24
1,,,3-17,24
24,2/9/15,,18-25,24
10,,,26-28,24
24,,,29,24
10,,,30-32,24
24,,,33,24
10,,,34-39,24
24,,,40,24
10,,,41-47,24
24,,,48-49,24
10,,,50-59,24
11,,10,60-61,24
24,,,62,24
11,,10,63-65,24
10,,11,66,24
11,,10,67,24
10,,,68-74,24
3,,10,75,24
2,,10,76,24
3/24,,10,77,24
24,,10,78-79,24
10,,,80,24
3,,,1-2,25
10,,,3-6,25
10/11,,,7,25
10,,,8-11,25
2,,,12,25
10,,,13-24,25
3,,,25-26,25
2,,,27-47,25
3,,,48-49,25
2,,3,50,25
3,,2,51,25
11,,,52,25
10/11,,,53,25
10,,,54,25
10/11,,,55,25
10,,,56,25
11,,,57,25
3,,2,58,25
2,,3,59,25
3,,2,60,25
2,,3,61,25
3,,2,62,25
2,,3,63,25
3,,2,64,25
2,,3,65,25
3,,2,66,25
2,,3,67,25
3,,2,68,25
2,,3,69,25
3,,2,70,25
2,,3,71,25
3,,2,72,25
2,,3,73,25
3,,2,74,25
7,,,1-6,26
15,,,7-12,26
7/15,,,13,26
2,,,14-22,26
2/8,,,23-27,26
7,,2,28,26
2,,7,29,26
7,,2,30-31,26
2,,7,32,26
7,,2,33,26
2,,7,34,26
7,,2,35-38,26
15,,2,39-49,26
7,,2,50,26
2,,7,51,26
7,,2,52-53,26
2,,7,54,26
7,,2,55-56,26
2,,7,57,26
7,,2,58,26
2,,7,59,26
7,,2,60,26
2,,7,61,26
8,,,62-73,26
2/8,,,74,26
8,,,75,26
2/8,,,76,26
8,,,77-84,26
2/8,,,85-86,26
7,,2,87,26
7,,8,88,26
8,,7,89,26
2,,7/8,90,26
8,,2,91,26
2,,8,92,26
8,,2,93,26
7,,8,94,26
2,,8,95,26
8,,2,96,26
2,,8,97,26
8,,2,98,26
7,,2,99,26
8,,2,100,26
7/8,,2,101,26
2,,7/8,102,26
7/8,,2,103-104,26
2,,7/8,105,26
7/8,,2,106,26
7,,2,107-117,26
2,,,118-119,26
1,,,1-4,27
2,,,5-11,27
16,,2,12-14,27
2,,,15,27
16,,2,16-19,27
2,,,20,27
16,,2,21,27
2,,,22-23,27
16,,2,24,27
2,,,25-27,27
16,,2,28,27
2,,,29,27
16,,,30,27
2,,,31-37,27
16,,,38,27
2,,,39,27
2/24,,,40,27
2,,,41,27
2/24,,,42,27
2,,,43,27
2/24,,,44,27
2,,,45,27
24,,,46-53,27
2,,,54-57,27
17,,2,58-61,27
2,,,62,27
17,,2,63-66,27
2,,,67-69,27
16,,2,70,27
2,,,71,27
16,,2,72,27
2,,16,73,27
16,,2,74,27
2,,16,75,27
16,,2,76,27
2,,16,77,27
16,,2,78-80,27
2,,16,81-83,27
16,,2,84-90,27
2,,,91-101,27
24,,,102,27
2,,,103-105,27
17,,2,106,27
2,,17,107,27
1,,2,1,28
2,,1,2,28
1,,2,3,28
2,,1,4,28
1,,2,5,28
2,,1,6,28
1,,2,7,28
2,,1,8,28
1,,2,9,28
2,,1,10,28
1,,2,11,28
2,,1,12,28
1,,2,13,28
2,,1,14,28
1,,2,15,28
2,,1,16,28
1,,2,17,28
2,,1,18,28
1,,2,19,28
2,,1,20,28
11,,2,21,28
2,,1,22,28
1,,2,23,28
2,,1,24,28
1,,,25,28
1/24,,,26,28
1,,,27,28
1/24,,,28,28
1,,,29-46,28
1/24,,,47,28
10,,,48-49,28
1/24,,,50,28
10,,,51,28
2,,,52,28
10,,,53,28
1/24,,,54,28
10,,,55-56,28
1/24,,,57,28
10,,,58-59,28
1,,,60-61,28
1/24,,,62-64,28
1,,,65,28
1/24,,,66-68,28
1,,,69-75,28
1/24,,,76,28
1,,,77,28
24,,,78,28
1,,,79-82,28
11,,10,83,28
10,,11,84,28
11,,10,85,28
10,,11,86,28
11,,10,87,28
10,,11,88,28
11,,10,89,28
10,,11,90,28
11,,10,91,28
10,,11,92,28
1,,,93,28
24,,,94-95,28
1/24,,,96-101,28
1,,,102,28
1/24,,,103-105,28
1,,,106,28
24,,,107,28
1,,,108,28
24,,,109,28
1,,,110-111,28
24,,,112,28
1,,2,113-114,28
2,,1,115-116,28
1,,2,117,28
2,,1,118-122,28
2/24,,,123,28
2,,,124-126,28
2/10/11/3,,1,127-130,28
1,,,131-167,28
24,,,168,28
1,,,169,28
24,,,170,28
1,,,171,28
24,,,172,28
1,,,173,28
1/24,,,174,28
1,,,175-182,28
15,,7,1-4,29
7,,15,5,29
15,,7,6,29
7,,15,7,29
15,,,8,29
15/7,,,9,29
15,,,10,29
7,,,11,29
15/7,,,12,29
2,,1,13-14,29
1,,2,15,29
2,,1,16,29
1,,2,17-18,29
2,,1,19,29
1,,2,20-22,29
2,,1,23,29
1,,2,24-25,29
2,,1,26,29
1,,2,27,29
2,,1,28,29
1,,2,29-31,29
3,,,1,30
10,,,2-5,30
11,,,6,30
10,,,7-18,30
24,,,19,30
10,,,20,30
3,,,21,30
2,,,22-29,30
3,,,30,30
10,,3,31,30
3,,10,32,30
10,,3,33,30
3,,10,34,30
10,,3,35,30
3,,10,36-38,30
2,,3,39,30
3,,2,40,30
10,,2,41,30
2,,10,42,30
10,,2,43-45,30
2,,10,46-49,30
10,,2,50,30
2,,10,51,30
10,,2,52,30
2,,10,53,30
10,,2,54,30
2,,10,55,30
10,,2,56,30
3,,2,57,30
10,,2,58,30
1,,,1-2,31
10,,,3-14,31
10/1,,,15-17,31
11,,,18,31
10/11/1,,,19-20,31
11,,,21-22,31
1,,,23,31
10,,,24,31
11,,,25,31
10,,,26-27,31
11,,,28,31
10,,,29,31
11,,,30,31
1,,,31,31
10,,,32,31
11/10,,,33,31
10,,,34-38,31
11/1/10,,,39-45,31
10/11,,,46,31
10/11/1,,,47,31
24,,,48,31
10/11/1,,,49,31
24,,,50,31
10/11/1,,,51,31
24,,,52,31
10/11/1,,,53-55,31
11,,,56,31
10/11/1,,,57,31
10,,,58,31
10/11/1,,,59-60,31
2,,3,1,32
3,,2,2,32
2,,3,3,32
3,,2,4,32
2,,3,5,32
3,,2,6,32
2,,3,7,32
3,,2,8,32
2,,3,9,32
3,,2,10,32
2,,3,11-12,32
3,,2,13,32
2,,3,14,32
3,,2,15,32
2,,3,16,32
3,,2,17,32
2,,3,18,32
3,,2,19-25,32
2,,3,26,32
3,,2,27,32
2,,3,28,32
3,,2,29,32
2,,3,30,32
3,,2,31-33,32
2,,3,34-35,32
3,,2,36-41,32
2,,3,42,32
3,,2,43,32
2,,3,44,32
3,,2,45,32
2,,3,46,32
3,,2,47-56,32
2,,,57,32
2,,,58-62,32
3,,,63,32
21,,,64,32
2,,,65,32
3,,,66-74,32
12,,,1-26,33
1,,,1-5,34
1/24,,,6,34
1,,,7,34
10,,,8,34
1,,,9-10,34
10,,,11,34
1,,,12,34
2,,,13,34
1,,,14,34
11,,,15,34
10,,,16,34
2,,1/10/11,1-4,35
10,,2,5,35
11,,2,6,35
1,,2,7,35
2,,1/10/11,8,35
11,,2,9,35
10,,2,10,35
11,,2,11,35
10,,2,12,35
1,,2,13,35
10/11,,2,14,35
1,,2,15,35
1/10/11,,2,16,35
2,,1/10/11,17,35
10/11/1,,,18,35
2,,1/10/11,19-20,35
10/11/1,,2,21,35
2,,1/10/11,22-23,35
1,,,24,35
2,,1/10/11,25,35
10/11/1,,2,26,35
1,,,27-30,35
10,,,31,35
2,,1/10/11,32-45,35
10,,,46,35
11,,,47,35
2,,1/10/11,48,35
10/11,,2,49,35
2,,1,50-52,35
1,,2,53,35
2,,,1-34,36
1,,,35,36
24/1,,,36-37,36
2,,,38-43,36
24,,,44,36
2,,,45,36
24,,,1,37
10/11/8,,,2,37
1/10/11,,,3-4,37
11,,,5,37
2/10,,,6-9,37
11/1/10,,,10,37
2/10/11,,,11,37
1,,,12,37
11,,,13,37
22,,,14,37
2/10,,,15,37
11/1,,,16,37
24,,,17,37
11/1,,,18,37
10,,,19,37
11/1,,,20,37
10,,,21,37
11/1,,,22,37
10,,,23,37
11/1,,,24,37
10,,,25,37
10/11/1,,,26,37
8,,,27,37
10,,,28,37
2,,8,29,37
24,,,30-31,37
2,,8,32-33,37
8,,2,34,37
24,,,35,37
8,,,36-43,37
10/11/1,,,44-47,37
10/11,,,48-51,37
24,,,52-53,37
10/11/1,,,54-55,37
24,2/7,,56,37
7,,,1-54,38
15,,,1-10,39
24,,,11,39
15,,21,12-15,39
21,,15,16-17,39
15,,21,18,39
21,,15,19,39
15,,21,20-21,39
21,,15,22,39
24,,,23,39
15,,18,24,39
18,,,25,39
15,,18,26,39
18,,15,27,39
15,,18,28-29,39
18,,15,30-31,39
24,,,32,39
15,,18,33,39
18,,15,34-35,39
15,,18,36-37,39
18,,15,38-39,39
15,,2,40-41,39
2,,15,42,39
15,,2,43-44,39
2,,15,45,39
15,,2,46,39
2,,15,47,39
15,,2,48,39
2/15,,,49,39
2,,15,50-53,39
15,,2,54,39
2,,15,55-57,39
15,,2,58,39
2,,15,59-60,39
15,,2,61,39
2,,15,62-63,39
15,,,64-68,39
15,,18,69,39
18,,15,70-72,39
15,,18,73-74,39
24,,,75,39
15,,,76-78,39
22,,,79,39
24,,,80,39
21,,,1-3,40
2,,22,4,40
22,,2,5,40
2,,22,6,40
22,,2,7-8,40
2,,2,9,40
22,,2,10,40
2,,15,11,40
15,,2,12-14,40
2,,15,15-24,40
7,,,25,40
2,,7,26,40
7,,2,27-28,40
15,,7,29,40
7,,15,30,40
15,,7,31,40
7,,15,32,40
15,,7,33,40
7,,15,34,40
15,,7,35,40
7,,15,36,40
15,,7,37,40
7,,15,38,40
7,,,39-46,40
8,,,1-6,41
8/24,,,7-8,41
2,,,9-16,41
8/21,,,17-18,41
2,,,19-20,41
8/21,,,21,41
22,2,,22,41
2,,,23,41
24,2/7,,24,41
2,,7,25-40,41
24,2/7,,41-42,41
2,,7,43,41
24,2/7,,44-45,41
2,,7,46,41
24,2/7,,47,41
8,,,48-54,41
7,,2,55,41
24,2/7,,56-59,41
24,,,1,42
10,,,2,42
11,,,3,42
10,,,4-7,42
10/11,,,8,42
10,,,9,42
11,,,10,42
10,,,11,42
11,,,12,42
10,,,13,42
11,,10,14,42
10,,,15,42
11,,10,16,42
10,,11,17,42
11,,10,18,42
10,,11,19,42
11,,10,20,42
10,,,21,42
11,,,22-23,42
10/11,,,24-25,42
1,,,26-32,42
22,,,33,42
21,,,34,42
22,,,35-36,42
21,,,37-39,42
22,,,40-41,42
24,,,42,42
2,,,43,42
24,,,44,42
2,,,45,42
22,,,46-49,42
24,,,50-52,42
2,,1,53,42
1,,2,54,42
2,,1,55,42
1,,2,56,42
2,,1,57,42
1,,2,58,42
2,,1,59,42
1,,2,60,42
2,,1,61,42
1,,2,62,42
2,,1,63,42
1,,2,64-65,42
2,,1,66,42
1,,2,67,42
24,,,68-69,42
11,,,70,42
24,,,71-72,42
10,,,73,42
24,,,74-75,42
10/11,,,76,42
24,,,77-82,42
2,,,83,42
24,,,84,42
2,,,85,42
24,,,86,42
2,,,87,42
24,,,88,42
2,,,89,42
24,,,90,42
2,,,91,42
10/11/24,,,92,42
2,,,93,42
10/11/24,,,94,42
2,,,95,42
10/11/24,,,96,42
2,,,97-98,42
24,,,99,42
11/10,,,100-101,42
11,,,102,42
24,,,103-104,42
10,,,105,42
11,,10,106,42
1,,10,107-108,42
10,,,109,42
1,,10,110,42
10,,1,111,42
1,,10,112,42
10,,11,113-114,42
11,,10,115,42
10,,11,116,42
11,,10,117,42
10,,1,118,42
1,,,1-9,43
1/24,,,10-11,43
1,,,12,43
1/24,,,13,43
1,,,14-29,43
2,,,30-37,43
1,,,38,43
2,,,39-45,43
1,,2,46-48,43
2,,1,49-53,43
1,,2,54-56,43
2,,1,57,43
1/2,,,58,43
2,,,59,43
1,,,60,43
7,,2,1,44
2,,7,2,44
7,,2,3,44
2,,7,4,44
7,,2,5,44
2,,7,6,44
7,,2,7,44
2,,7,8,44
7,,2,9,44
2,,7,10,44
7,,2,11,44
2,,,12,44
22,,,1,45
24,2/1,,2,45
1,,,3,45
24,,,4,45
1,,,5-6,45
1/24,,,7,45
1,,,8-9,45
24,,,10,45
1,,,11-13,45
24,,,14,45
1,,,15-18,45
24,,,19,45
1,,,20,45
1/15,,,21,45
24,,,22,45
1,,,23-24,45
24,,,25,45
1,,,26-27,45
24,,,28,45
1/2/22,,,29-30,45
1,,,31-36,45
24,,,37,45
1,,,38-40,45
24,,,41-42,45
2,,,43-70,45
1/24,,,71,45
1,,,72-76,45
24,,,77-79,45
1,,,80,45
24,,,81-83,45
1,,,84,45
24,,,85-87,45
1,,,88,45
1/8,,,89,45
1,,,90-107,45
3,,,1-3,46
3/24,,,4-6,46
1,,,7,46
10,,,8-9,46
3/24,,,10-12,46
1,,,13,46
11,,,14-16,46
3/24,,,17-19,46
8,,,20-21,46
1,,,22-23,46
1/22,,,24-25,46
21,,,26,46
7,,,27,46
21,,,28,46
7,,,29-31,46
24,,,32,46
7,,,33,46
6/5/4,,,34,46
7,,,35-36,46
7/24,,,37,46
7,,,38,46
7/8,,,39,46
7,,,40,46
7/8,,,41,46
7,,,42,46
7/8,,,43,46
7,,,44,46
7/24,,,45,46
7,,,46-47,46
7/24,,,48,46
7,,,49-51,46
7/24,2,,52,46
7,,,53,46
3,,,54,46
7,,,55-56,46
7/24,,,57,46
7,,,58-60,46
24,2,,61,46
7,,,62,46
24,2,,63,46
7,,,64-65,46
24,3,,66,46
7,,,67-68,46
7/24,2,,69,46
7,,,70-74,46
7/24,,,75,46
24,,,76-80,46
